Name,ID,Class,Gender,Eng-QAdvice,Eng-AI,Eng-GroupStyle,Eng-GroupFreq,Gen-QAdvice,Gen-AI,Gen-GroupStyle,Gen-GroupFreq,Gen-Subjects,試験名,時期,科目,スコア
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,AiGROW,4月,多様性/柔軟性,51
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,AiGROW,4月,多様性/柔軟性,70
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,AiGROW,4月,多様性/柔軟性,54
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,AiGROW,4月,多様性/柔軟性,41
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,多様性/柔軟性,40
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,AiGROW,4月,多様性/柔軟性,53
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,多様性/柔軟性,78
福田 拓真,25_19,A,M,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,多様性/柔軟性,62
遠藤 玲奈,25_20,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学,AiGROW,4月,多様性/柔軟性,47
高橋 紗季,25_21,A,F,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史,AiGROW,4月,多様性/柔軟性,70
渡辺 直樹,25_22,B,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物,AiGROW,4月,多様性/柔軟性,58
松本 一郎,25_23,B,M,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学,AiGROW,4月,多様性/柔軟性,47
松村 陽音,25_24,A,F,していない,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,AiGROW,4月,多様性/柔軟性,46
森田 太郎,25_25,B,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理,AiGROW,4月,多様性/柔軟性,31
山田 健介,25_26,B,M,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,多様性/柔軟性,65
中村 太郎,25_27,B,M,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,AiGROW,4月,多様性/柔軟性,50
森 和也,25_28,A,M,していない,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,していない,たまに使う（週１回あるかないか）,教えることが多い,基本的には行わない（個人学習がメイン）,物理,AiGROW,4月,多様性/柔軟性,47
林 野乃子,25_29,A,F,していない,よく使う（毎週１回以上使う）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,AiGROW,4月,多様性/柔軟性,46
山崎 直樹,25_30,A,M,,,,,,,,,,AiGROW,4月,多様性/柔軟性,45
林 健介,25_31,B,M,,,,,,,,,,AiGROW,4月,多様性/柔軟性,61
田中 めぐみ,25_32,A,F,,,,,,,,,,AiGROW,4月,多様性/柔軟性,78
斎藤 拓真,25_33,B,M,,,,,,,,,,AiGROW,4月,多様性/柔軟性,65
清水 彩香,25_34,A,F,,,,,,,,,,AiGROW,4月,多様性/柔軟性,69
中村 久博,25_01,A,M,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語,定期,Ⅰ,Total,56
近藤 舞子,25_02,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,生物、日本史,定期,Ⅰ,Total,47
松本 翔太,25_03,A,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅰ,Total,40
田中 さくら,25_04,A,F,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、生物,定期,Ⅰ,Total,36
阿部 和也,25_05,B,M,１回はした,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅰ,Total,38
山崎 紗季,25_06,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,定期,Ⅰ,Total,77
金子 陽菜,25_07,B,F,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、国語,定期,Ⅰ,Total,73
門倉 耕三,25_08,A,M,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,物理,定期,Ⅰ,Total,42
森田 舞子,25_09,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,英語　理科　数学,定期,Ⅰ,Total,93
松田 舞子,25_10,B,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,なし,定期,Ⅰ,Total,17
高橋 大輔,25_11,A,M,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし,定期,Ⅰ,Total,74
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,定期,Ⅰ,Total,45
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,定期,Ⅰ,Total,71
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,定期,Ⅰ,Total,27
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,定期,Ⅰ,Total,30
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅰ,Total,81
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,定期,Ⅰ,Total,79
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,定期,Ⅰ,Total,52
福田 拓真,25_19,A,M,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理,定期,Ⅰ,Total,42
遠藤 玲奈,25_20,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学,定期,Ⅰ,Total,84
高橋 紗季,25_21,A,F,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史,定期,Ⅰ,Total,80
渡辺 直樹,25_22,B,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物,定期,Ⅰ,Total,56
松本 一郎,25_23,B,M,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅰ,Total,63
松村 陽音,25_24,A,F,していない,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,定期,Ⅰ,Total,74
森田 太郎,25_25,B,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理,定期,Ⅰ,Total,46
山田 健介,25_26,B,M,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅰ,Total,77
中村 太郎,25_27,B,M,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅰ,Total,75
森 和也,25_28,A,M,していない,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,していない,たまに使う（週１回あるかないか）,教えることが多い,基本的には行わない（個人学習がメイン）,物理,定期,Ⅰ,Total,72
林 野乃子,25_29,A,F,していない,よく使う（毎週１回以上使う）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,定期,Ⅰ,Total,58
山崎 直樹,25_30,A,M,,,,,,,,,,定期,Ⅰ,Total,31
林 健介,25_31,B,M,,,,,,,,,,定期,Ⅰ,Total,24
田中 めぐみ,25_32,A,F,,,,,,,,,,定期,Ⅰ,Total,40
斎藤 拓真,25_33,B,M,,,,,,,,,,定期,Ⅰ,Total,26
清水 彩香,25_34,A,F,,,,,,,,,,定期,Ⅰ,Total,66
中村 久博,25_01,A,M,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語,定期,Ⅱ,Total,61
近藤 舞子,25_02,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,生物、日本史,定期,Ⅱ,Total,40
松本 翔太,25_03,A,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅱ,Total,35
田中 さくら,25_04,A,F,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、生物,定期,Ⅱ,Total,6
阿部 和也,25_05,B,M,１回はした,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅱ,Total,51
山崎 紗季,25_06,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,定期,Ⅱ,Total,85
金子 陽菜,25_07,B,F,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、国語,定期,Ⅱ,Total,71
門倉 耕三,25_08,A,M,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,物理,定期,Ⅱ,Total,51
森田 舞子,25_09,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,英語　理科　数学,定期,Ⅱ,Total,90
松田 舞子,25_10,B,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,なし,定期,Ⅱ,Total,51
高橋 大輔,25_11,A,M,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし,定期,Ⅱ,Total,70
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,定期,Ⅱ,Total,43
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,定期,Ⅱ,Total,91
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,定期,Ⅱ,Total,40
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,定期,Ⅱ,Total,13
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅱ,Total,85
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,定期,Ⅱ,Total,76
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,定期,Ⅱ,Total,52
福田 拓真,25_19,A,M,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,物理,定期,Ⅱ,Total,37
遠藤 玲奈,25_20,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,国語、数学、化学,定期,Ⅱ,Total,73
高橋 紗季,25_21,A,F,２回以上した,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学、日本史,定期,Ⅱ,Total,88
渡辺 直樹,25_22,B,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語、生物,定期,Ⅱ,Total,69
松本 一郎,25_23,B,M,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅱ,Total,67
松村 陽音,25_24,A,F,していない,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,定期,Ⅱ,Total,68
森田 太郎,25_25,B,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,英語、数学、物理,定期,Ⅱ,Total,nan
山田 健介,25_26,B,M,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅱ,Total,58
中村 太郎,25_27,B,M,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅱ,Total,68
森 和也,25_28,A,M,していない,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,していない,たまに使う（週１回あるかないか）,教えることが多い,基本的には行わない（個人学習がメイン）,物理,定期,Ⅱ,Total,62
林 野乃子,25_29,A,F,していない,よく使う（毎週１回以上使う）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,定期,Ⅱ,Total,nan
山崎 直樹,25_30,A,M,,,,,,,,,,定期,Ⅱ,Total,28
林 健介,25_31,B,M,,,,,,,,,,定期,Ⅱ,Total,44
田中 めぐみ,25_32,A,F,,,,,,,,,,定期,Ⅱ,Total,52
斎藤 拓真,25_33,B,M,,,,,,,,,,定期,Ⅱ,Total,36
清水 彩香,25_34,A,F,,,,,,,,,,定期,Ⅱ,Total,54
中村 久博,25_01,A,M,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,国語,定期,Ⅲ,Total,51
近藤 舞子,25_02,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,生物、日本史,定期,Ⅲ,Total,37
松本 翔太,25_03,A,M,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,１回はした,よく使う（毎週１回以上使う）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅲ,Total,45
田中 さくら,25_04,A,F,１回はした,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、生物,定期,Ⅲ,Total,33
阿部 和也,25_05,B,M,１回はした,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,たまに使う（週１回あるかないか）,教えることが多い,たまにグループ学習をする（週に１回あるかないか）,数学、物理,定期,Ⅲ,Total,33
山崎 紗季,25_06,B,F,していない,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,物理、数学,定期,Ⅲ,Total,69
金子 陽菜,25_07,B,F,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,していない,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,数学、国語,定期,Ⅲ,Total,65
門倉 耕三,25_08,A,M,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,物理,定期,Ⅲ,Total,37
森田 舞子,25_09,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,英語　理科　数学,定期,Ⅲ,Total,87
松田 舞子,25_10,B,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,訊くこと・教えることの割合は半々くらい,基本的には行わない（個人学習がメイン）,なし,定期,Ⅲ,Total,44
高橋 大輔,25_11,A,M,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,していない,基本的には使わない,基本的には行わない（個人学習がメイン）,基本的には行わない（個人学習がメイン）,なし,定期,Ⅲ,Total,74
斉藤 和也,25_12,A,M,していない,よく使う（毎週１回以上使う）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学、生物、地理、化学,定期,Ⅲ,Total,35
山田 さくら,25_13,B,F,２回以上した,よく使う（毎週１回以上使う）,教えることが多い,基本的には行わない（個人学習がメイン）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,基本的には行わない（個人学習がメイン）,なし,定期,Ⅲ,Total,69
金子 玲奈,25_14,A,F,していない,基本的には使わない,訊くことが多い,基本的には行わない（個人学習がメイン）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,よくグループ学習をする（毎週１回以上）,生物、日本史、数学,定期,Ⅲ,Total,35
青木 陽介,25_15,B,M,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,していない,たまに使う（週１回あるかないか）,基本的には行わない（個人学習がメイン）,たまにグループ学習をする（週に１回あるかないか）,物理,定期,Ⅲ,Total,23
森 舞子,25_16,A,F,１回はした,たまに使う（週１回あるかないか）,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,していない,基本的には使わない,訊くことが多い,たまにグループ学習をする（週に１回あるかないか）,数学,定期,Ⅲ,Total,84
中村 舞子,25_17,A,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,よく使う（毎週１回以上使う）,訊くことが多い,よくグループ学習をする（毎週１回以上）,数学,定期,Ⅲ,Total,77
佐藤 美咲,25_18,B,F,１回はした,よく使う（毎週１回以上使う）,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,２回以上した,基本的には使わない,訊くこと・教えることの割合は半々くらい,たまにグループ学習をする（週に１回あるかないか）,数学、物理、化学,定期,Ⅲ,Total,47
